ticker,close_time,strike,result
KXETH-26MAR2521-B2640,2026-04-02 01:00:00+00:00,2640.0,no
KXETH-26MAR2522-B2100,2026-04-02 02:00:00+00:00,2100.0,no
KXETH-26MAR2520-B2140,2026-04-02 00:00:00+00:00,2140.0,no
KXETH-26MAR2519-B2100,2026-04-01 23:00:00+00:00,2100.0,no
KXETH-26MAR2516-B2640,2026-04-01 20:00:00+00:00,2640.0,no
KXETH-26MAR2518-B2100,2026-04-01 22:00:00+00:00,2100.0,no
KXETH-26MAR2515-B2140,2026-04-01 19:00:00+00:00,2140.0,no
KXETH-26MAR2514-B2100,2026-04-01 18:00:00+00:00,2100.0,no
KXETH-26MAR2512-B2640,2026-04-01 16:00:00+00:00,2640.0,no
KXETH-26MAR2513-B2100,2026-04-01 17:00:00+00:00,2100.0,no
KXETH-26MAR2511-B2140,2026-04-01 15:00:00+00:00,2140.0,no
KXETH-26MAR2510-B2100,2026-04-01 14:00:00+00:00,2100.0,no
KXETH-26MAR2508-B2640,2026-04-01 12:00:00+00:00,2640.0,no
KXETH-26MAR2509-B2100,2026-04-01 13:00:00+00:00,2100.0,no
KXETH-26MAR2507-B2140,2026-04-01 11:00:00+00:00,2140.0,no
KXETH-26MAR2506-B2100,2026-04-01 10:00:00+00:00,2100.0,no
KXETH-26MAR2504-B2640,2026-04-01 08:00:00+00:00,2640.0,no
KXETH-26MAR2505-B2100,2026-04-01 09:00:00+00:00,2100.0,no
KXETH-26MAR2503-B2140,2026-04-01 07:00:00+00:00,2140.0,no
KXETH-26MAR2502-B2440,2026-04-01 06:00:00+00:00,2440.0,no
KXETH-26MAR2517-B2090,2026-04-01 21:00:00+00:00,2090.0,no
KXETH-26MAR2501-B2100,2026-04-01 05:00:00+00:00,2100.0,no
KXETH-26MAR2500-B2090,2026-04-01 04:00:00+00:00,2090.0,no
KXETH-26MAR2422-B2290,2026-04-01 02:00:00+00:00,2290.0,no
KXETH-26MAR2423-B2090,2026-04-01 03:00:00+00:00,2090.0,no
KXETH-26MAR2421-B2090,2026-04-01 01:00:00+00:00,2090.0,no
KXETH-26MAR2420-B2090,2026-04-01 00:00:00+00:00,2090.0,no
KXETH-26MAR2418-B2290,2026-03-31 22:00:00+00:00,2290.0,no
KXETH-26MAR2419-B2090,2026-03-31 23:00:00+00:00,2090.0,no
KXETH-26MAR2416-B2090,2026-03-31 20:00:00+00:00,2090.0,no
KXETH-26MAR2415-B2090,2026-03-31 19:00:00+00:00,2090.0,no
KXETH-26MAR2413-B2290,2026-03-31 17:00:00+00:00,2290.0,no
KXETH-26MAR2414-B2090,2026-03-31 18:00:00+00:00,2090.0,no
KXETH-26MAR2412-B2050,2026-03-31 16:00:00+00:00,2050.0,no
KXETH-26MAR2411-B2050,2026-03-31 15:00:00+00:00,2050.0,no
KXETH-26MAR2409-B2290,2026-03-31 13:00:00+00:00,2290.0,no
KXETH-26MAR2410-B2070,2026-03-31 14:00:00+00:00,2070.0,no
KXETH-26MAR2408-B2030,2026-03-31 12:00:00+00:00,2030.0,no
KXETH-26MAR2407-B2030,2026-03-31 11:00:00+00:00,2030.0,no
KXETH-26MAR2405-B2290,2026-03-31 09:00:00+00:00,2290.0,no
KXETH-26MAR2406-B2010,2026-03-31 10:00:00+00:00,2010.0,no
KXETH-26MAR2404-B2050,2026-03-31 08:00:00+00:00,2050.0,no
KXETH-26MAR2403-B2090,2026-03-31 07:00:00+00:00,2090.0,no
KXETH-26MAR2417-B2100,2026-03-31 21:00:00+00:00,2100.0,no
KXETH-26MAR2402-B2070,2026-03-31 06:00:00+00:00,2070.0,no
KXETH-26MAR2400-B2640,2026-03-31 04:00:00+00:00,2640.0,no
KXETH-26MAR2401-B2050,2026-03-31 05:00:00+00:00,2050.0,no
KXETH-26MAR2323-B2140,2026-03-31 03:00:00+00:00,2140.0,yes
KXETH-26MAR2322-B2080,2026-03-31 02:00:00+00:00,2080.0,no
KXETH-26MAR2320-B2640,2026-03-31 00:00:00+00:00,2640.0,no
KXETH-26MAR2321-B2040,2026-03-31 01:00:00+00:00,2040.0,no
KXETH-26MAR2319-B2140,2026-03-30 23:00:00+00:00,2140.0,no
KXETH-26MAR2318-B2040,2026-03-30 22:00:00+00:00,2040.0,no
KXETH-26MAR2315-B2640,2026-03-30 19:00:00+00:00,2640.0,no
KXETH-26MAR2316-B2020,2026-03-30 20:00:00+00:00,2020.0,no
KXETH-26MAR2314-B2140,2026-03-30 18:00:00+00:00,2140.0,no
KXETH-26MAR2313-B2060,2026-03-30 17:00:00+00:00,2060.0,no
KXETH-26MAR2311-B2640,2026-03-30 15:00:00+00:00,2640.0,no
KXETH-26MAR2312-B2080,2026-03-30 16:00:00+00:00,2080.0,no
